,Avg Reward,Avg Performance,Avg Episode Length,Avg Decision Time (ms)
MR-VFL-Mamba,-17.98683593221299,0.5800709914183665,1.0,4.298336505889893
MR-VFL-Original,-18.04594410965844,0.5367544522012097,1.0,0.9572005271911621
Random,-17.98960427901972,0.541090724284891,1.0,0.0
Greedy-Quality,-17.858829453120794,0.6780533446217063,1.0,0.0
Greedy-Compute,-16.991710517646347,0.5335103574663201,1.0,0.0
Fairness-Aware,-18.157257925410413,0.5863474029329168,1.0,0.0
