,Avg Reward,Avg Performance,Avg Episode Length,Avg Decision Time (ms)
MR-VFL-Mamba,-17.98683593221299,0.5800709914183665,1.0,3.9315342903137207
MR-VFL-Original,-18.048728232825596,0.5533146950200416,1.0,0.9503531455993652
Random,-17.98960427901972,0.541090724284891,1.0,0.007779598236083984
Greedy-Quality,-17.858829453120794,0.6780533446217063,1.0,0.01367330551147461
Greedy-Compute,-16.991710517646347,0.5335103574663201,1.0,0.0
Fairness-Aware,-18.157257925410413,0.5863474029329168,1.0,0.01112222671508789
